customer_id,order_id,order_date,qty,price,discount,is_return,channel,category
1,1,2023-01-26,3,52.75,0.05,0,marketplace,footwear
1,2,2025-01-29,1,120.15,0,0,online,makeup
2,3,2023-01-28,2,92.6,0.1,0,online,accessories
2,4,2023-07-23,2,141.14,0.1,0,online,accessories
2,5,2024-03-05,3,24.93,0.15,0,store,apparel
2,6,2024-07-12,3,162.39,0.15,0,store,skincare
2,7,2024-07-28,3,166.73,0.2,0,store,apparel
2,8,2024-09-08,2,142.39,0,0,store,skincare
2,9,2024-10-27,2,173.96,0.15,0,marketplace,accessories
2,10,2024-12-19,3,36.72,0.1,0,store,footwear
2,11,2025-01-03,1,123.78,0.05,0,online,makeup
3,12,2023-08-13,1,49.66,0,0,store,fragrance
3,13,2023-10-04,1,46.14,0.2,0,store,makeup
3,14,2023-11-29,4,82.15,0.15,0,online,makeup
3,15,2024-01-24,3,150.67,0.15,0,store,fragrance
3,16,2024-07-24,2,199.48,0.05,0,online,accessories
3,17,2024-10-17,1,172.92,0.05,0,marketplace,hair
3,18,2024-12-02,1,80.03,0.2,1,marketplace,fragrance
3,19,2024-12-05,1,137.66,0,0,marketplace,accessories
4,20,2023-04-25,4,35.84,0,1,marketplace,fragrance
4,21,2023-10-28,2,104.0,0,0,store,accessories
4,22,2023-12-15,2,34.8,0.05,0,marketplace,skincare
4,23,2024-10-18,3,100.28,0,0,store,makeup
4,24,2025-02-26,1,51.97,0.2,0,online,footwear
5,25,2023-03-12,4,189.64,0.05,0,marketplace,hair
5,26,2023-05-09,2,186.14,0.05,0,store,footwear
5,27,2023-05-12,3,90.43,0.2,0,online,makeup
5,28,2024-06-29,1,70.93,0.2,0,marketplace,makeup
5,29,2024-11-06,1,18.84,0,0,online,accessories
5,30,2025-02-17,3,18.82,0.05,0,store,makeup
5,31,2025-02-23,2,146.05,0.2,0,online,accessories
5,32,2025-04-15,4,162.46,0.05,0,marketplace,hair
6,33,2023-02-25,1,16.82,0.1,0,online,makeup
6,34,2024-02-25,2,42.09,0.15,0,online,fragrance
6,35,2024-03-09,4,53.71,0,0,marketplace,skincare
6,36,2024-04-23,1,132.17,0.2,0,online,accessories
6,37,2025-01-16,2,37.43,0.15,0,store,skincare
6,38,2025-06-03,2,78.9,0.15,0,store,fragrance
7,39,2024-05-13,2,42.03,0.05,1,marketplace,footwear
7,40,2024-07-23,1,150.86,0,0,store,apparel
7,41,2024-11-08,2,16.09,0.2,0,online,skincare
7,42,2024-12-14,1,136.67,0.05,0,marketplace,makeup
7,43,2025-01-05,1,125.78,0.15,0,marketplace,apparel
7,44,2025-01-18,3,187.27,0.05,0,store,makeup
7,45,2025-03-13,3,82.18,0.1,0,online,skincare
8,46,2023-03-17,2,186.99,0,0,store,fragrance
